#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.geneSymbol	hg38.kgXref.description
chr9	5334968	5339873	RLN1	Homo sapiens relaxin 1 (RLN1), mRNA. (from RefSeq NM_006911)
chr9	5351795	5352410	AL135786.2	AL135786.2 (from geneSymbol)
chr9	5356311	5356525	AL135786.1	AL135786.1 (from geneSymbol)
chr9	5357972	5437878	PLGRKT	Homo sapiens plasminogen receptor with a C-terminal lysine (PLGRKT), mRNA. (from RefSeq NM_018465)
chr9	5418372	5418976	RNF152P1	ring finger protein 152 pseudogene 1 (from HGNC RNF152P1)
chr9	5450524	5470547	CD274	Homo sapiens CD274 molecule (CD274), transcript variant 3, non-coding RNA. (from RefSeq NR_052005)
chr9	5510569	5571254	PDCD1LG2	Homo sapiens programmed cell death 1 ligand 2 (PDCD1LG2), mRNA. (from RefSeq NM_025239)
chr9	5584489	5588994	AL162253.1	AL162253.1 (from geneSymbol)
chr9	5629118	5776557	RIC1	Homo sapiens RIC1 homolog, RAB6A GEF complex partner 1 (RIC1), transcript variant 1, mRNA. (from RefSeq NM_020829)
chr9	5719020	5720244	AL136980.1	AL136980.1 (from geneSymbol)
chr9	5784572	5833117	ERMP1	Homo sapiens endoplasmic reticulum metallopeptidase 1 (ERMP1), mRNA. (from RefSeq NM_024896)
chr9	5855780	5856426	AK4P4	adenylate kinase 4 pseudogene 4 (from HGNC AK4P4)
chr9	5890801	5910606	MLANA	Homo sapiens melan-A (MLANA), mRNA. (from RefSeq NM_005511)
chr9	5919007	6007787	KIAA2026	Homo sapiens KIAA2026 (KIAA2026), mRNA. (from RefSeq NM_001017969)
chr9	6007825	6007904	MIR4665	Homo sapiens microRNA 4665 (MIR4665), microRNA. (from RefSeq NR_039811)
chr9	6011042	6015618	RANBP6	Homo sapiens RAN binding protein 6 (RANBP6), transcript variant 1, mRNA. (from RefSeq NM_012416)
chr9	6047359	6066714	AL162384.1	AL162384.1 (from geneSymbol)
chr9	6195933	6197248	GTF3AP1	general transcription factor IIIA pseudogene 1 (from HGNC GTF3AP1)
chr9	6241681	6257983	IL33	Homo sapiens interleukin 33 (IL33), transcript variant 1, mRNA. (from RefSeq NM_033439)
chr9	6276639	6276974	AL360221.1	AL360221.1 (from geneSymbol)
chr9	6278666	6279153	SELENOTP1	selenoprotein T pseudogene 1 (from HGNC SELENOTP1)
chr9	6328374	6330670	TPD52L3	Homo sapiens tumor protein D52 like 3 (TPD52L3), transcript variant 1, mRNA. (from RefSeq NM_033516)
chr9	6413322	6507054	UHRF2	Homo sapiens ubiquitin like with PHD and ring finger domains 2 (UHRF2), transcript variant 1, mRNA. (from RefSeq NM_152896)
chr9	6415144	6449558	AL133480.1	AL133480.1 (from geneSymbol)
chr9	6532463	6645783	GLDC	Homo sapiens glycine decarboxylase (GLDC), mRNA. (from RefSeq NM_000170)
chr9	6542093	6542353	RN7SL25P	RNA, 7SL, cytoplasmic 25, pseudogene (from HGNC RN7SL25P)
chr9	6568843	6569360	AL353718.1	AL353718.1 (from geneSymbol)
chr9	6639138	6639604	RPL23AP57	ribosomal protein L23a pseudogene 57 (from HGNC RPL23AP57)
chr9	6645955	6670635	AL162411.1	AL162411.1 (from geneSymbol)
chr9	6661650	6661942	RN7SL123P	RNA, 7SL, cytoplasmic 123, pseudogene (from HGNC RN7SL123P)
chr9	6662423	6663792	RPS3AP54	ribosomal protein S3a pseudogene 54 (from HGNC RPS3AP54)
chr9	6668998	6670008	RNF2P1	ring finger protein 2 pseudogene 1 (from HGNC RNF2P1)
chr9	6675283	6675614	AL354707.3	AL354707.3 (from geneSymbol)
chr9	6704470	6707780	AL354707.2	AL354707.2 (from geneSymbol)
chr9	6718964	6727438	AL354707.1	Homo sapiens cDNA FLJ25668 fis, clone TST03551. (from mRNA AK098534)
chr9	6734597	6735076	PRELID3BP11	PRELI domain containing 3B pseudogene 11 (from HGNC PRELID3BP11)
chr9	6748702	6748981	SNRPEP2	small nuclear ribonucleoprotein polypeptide E pseudogene 2 (from HGNC SNRPEP2)
chr9	6757655	7175648	KDM4C	Histone demethylase that specifically demethylates 'Lys-  9' and 'Lys-36' residues of histone H3, thereby playing a central  role in histone code. Does not demethylate histone H3 'Lys-4', H3  'Lys-27' nor H4 'Lys-20'. Demethylates trimethylated H3 'Lys-9'  and H3 'Lys-36' residue, while it has no activity on mono- and  dimethylated residues. Demethylation of Lys residue generates  formaldehyde and succinate. (from UniProt Q9H3R0)
chr9	6834455	6835577	ACTG1P14	actin gamma 1 pseudogene 14 (from HGNC ACTG1P14)
chr9	6902669	6978859	AL513412.1	AL513412.1 (from geneSymbol)
chr9	7177576	7203458	AL161443.1	AL161443.1 (from geneSymbol)
chr9	7477044	7478320	RPL4P5	ribosomal protein L4 pseudogene 5 (from HGNC RPL4P5)
chr9	7597822	7598377	PPIAP33	peptidylprolyl isomerase A pseudogene 33 (from HGNC PPIAP33)
chr9	7786104	7786688	AL354694.1	AL354694.1 (from geneSymbol)
chr9	7796489	7800067	DMAC1	Homo sapiens distal membrane arm assembly complex 1 (DMAC1), transcript variant 2, mRNA. (from RefSeq NM_033428)
chr9	7930826	7935137	AL135923.1	AL135923.1 (from geneSymbol)
chr9	7960412	7961080	AL135923.2	AL135923.2 (from geneSymbol)
chr9	8314245	10033790	PTPRD	Homo sapiens protein tyrosine phosphatase, receptor type D (PTPRD), transcript variant 1, mRNA. (from RefSeq NM_002839)
chr9	8700594	8701552	AL583805.2	AL583805.2 (from geneSymbol)
chr9	8713310	8713841	AL583805.1	Homo sapiens ribosomal protein L18a-like protein mRNA, complete cds. (from mRNA AY779046)
chr9	8797134	8797194	RNU7-185P	RNA, U7 small nuclear 185 pseudogene (from HGNC RNU7-185P)
chr9	8858133	8861724	PTPRD-AS1	Homo sapiens PTPRD antisense RNA 1 (PTPRD-AS1), transcript variant 1, long non-coding RNA. (from RefSeq NR_121599)
chr9	8936078	8963077	AL596451.1	AL596451.1 (from geneSymbol)
chr9	9090897	9091245	RPS26P3	ribosomal protein S26 pseudogene 3 (from HGNC RPS26P3)
chr9	9442059	9442380	RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene (from HGNC RN7SL5P)
chr9	9799422	9803784	AL513422.1	Homo sapiens uncharacterized LOC105375972 (LOC105375972), long non-coding RNA. (from RefSeq NR_135135)
chr9	10532144	10532411	AL135790.2	AL135790.2 (from geneSymbol)
chr9	10613201	10620420	PTPRD-AS2	Homo sapiens PTPRD antisense RNA 2 (head to head) (PTPRD-AS2), long non-coding RNA. (from RefSeq NR_110696)
chr9	10631749	10632203	AL135790.1	AL135790.1 (from geneSymbol)
chr9	10777356	10777525	AL161788.1	AL161788.1 (from geneSymbol)
chr9	10829751	10830308	IMP3P1	IMP3 pseudogene 1 (from HGNC IMP3P1)
chr9	10948371	10948481	AL162413.1	AL162413.1 (from geneSymbol)
chr9	11011747	11013096	AKAP8P1	A-kinase anchoring protein 8 pseudogene 1 (from HGNC AKAP8P1)
chr9	11275313	11276314	AL451129.1	AL451129.1 (from geneSymbol)
chr9	11618495	11618621	AL592227.1	AL592227.1 (from geneSymbol)
chr9	11618529	12058227	AL353595.1	AL353595.1 (from geneSymbol)
chr9	12098659	12159147	AL589678.1	AL589678.1 (from geneSymbol)
chr9	12287319	12288238	JKAMPP1	JNK1/MAPK8-associated membrane protein pseudogene 1 (from HGNC JKAMPP1)
chr9	12300265	12300451	RNU2-47P	RNA, U2 small nuclear 47, pseudogene (from HGNC RNU2-47P)
chr9	12693434	12710290	TYRP1	Homo sapiens tyrosinase related protein 1 (TYRP1), mRNA. (from RefSeq NM_000550)
chr9	12700099	12814345	LURAP1L-AS1	Homo sapiens LURAP1L antisense RNA 1 (LURAP1L-AS1), long non-coding RNA. (from RefSeq NR_125775)
chr9	12764760	12765055	RN7SL849P	RNA, 7SL, cytoplasmic 849, pseudogene (from HGNC RN7SL849P)
chr9	12775020	12822131	LURAP1L	Homo sapiens leucine rich adaptor protein 1 like (LURAP1L), mRNA. (from RefSeq NM_203403)
chr9	12885320	12885417	RF00019	RF00019 (from geneSymbol)
chr9	12958502	13034326	AL161449.2	AL161449.2 (from geneSymbol)
chr9	12972842	12973438	PRDX1P1	peroxiredoxin 1 pseudogene 1 (from HGNC PRDX1P1)
chr9	13021693	13022892	AL161449.1	AL161449.1 (from geneSymbol)
chr9	13105709	13279564	MPDZ	Homo sapiens multiple PDZ domain crumbs cell polarity complex component (MPDZ), transcript variant 1, mRNA. (from RefSeq NM_003829)
chr9	13274509	13279187	AL162386.2	AL162386.2 (from geneSymbol)
chr9	13322805	13323450	AL162386.1	AL162386.1 (from geneSymbol)
chr9	13406379	13431329	LINC01235	Homo sapiens long intergenic non-protein coding RNA 1235 (LINC01235), long non-coding RNA. (from RefSeq NR_033863)
chr9	13446490	13487511	AL583785.1	AL583785.1 (from geneSymbol)
chr9	13927970	13945610	LINC00583	Homo sapiens long intergenic non-protein coding RNA 583 (LINC00583), long non-coding RNA. (from RefSeq NR_038194)
chr9	13986174	13987909	PES1P2	pescadillo ribosomal biogenesis factor 1 pseudogene 2 (from HGNC PES1P2)
chr9	14025970	14030115	AL360089.1	AL360089.1 (from geneSymbol)
chr9	14040715	14041861	RPL3P11	ribosomal protein L3 pseudogene 11 (from HGNC RPL3P11)
chr9	14068931	14069417	ATP5PDP3	ATP synthase peripheral stalk subunit d pseudogene 3 (from HGNC ATP5PDP3)
chr9	14081847	14313985	NFIB	Homo sapiens nuclear factor I B (NFIB), transcript variant 3, mRNA. (from RefSeq NM_005596)
chr9	14204247	14205039	AL441963.1	AL441963.1 (from geneSymbol)
chr9	14317084	14357854	AL136366.1	AL136366.1 (from geneSymbol)
chr9	14531915	14532042	AL159169.1	Sequence 71824 from Patent EP1572962. (from mRNA JD090800)
chr9	14586765	14587326	AL159169.3	AL159169.3 (from geneSymbol)
chr9	14588796	14590065	AL159169.2	AL159169.2 (from geneSymbol)
chr9	14593576	14594200	CDCA4P1	cell division cycle associated 4 pseudogene 1 (from HGNC CDCA4P1)
chr9	14611070	14693471	ZDHHC21	Homo sapiens zinc finger DHHC-type containing 21 (ZDHHC21), transcript variant 13, mRNA. (from RefSeq NM_001354129)
chr9	14719723	14722717	CER1	Homo sapiens cerberus 1, DAN family BMP antagonist (CER1), mRNA. (from RefSeq NM_005454)
chr9	14734665	14910995	FREM1	Homo sapiens FRAS1 related extracellular matrix 1 (FREM1), transcript variant 1, mRNA. (from RefSeq NM_144966)
chr9	14790634	14791158	AL512643.1	AL512643.1 (from geneSymbol)
chr9	14850428	14850535	RNU6-1260P	RNA, U6 small nuclear 1260, pseudogene (from HGNC RNU6-1260P)
chr9	14921336	14922334	LDHAP4	lactate dehydrogenase A pseudogene 4 (from HGNC LDHAP4)
chr9	14987301	15146401	CLCN3P1	chloride voltage-gated channel 3 pseudogene 1 (from HGNC CLCN3P1)
chr9	14993311	15019729	AL592293.1	AL592293.1 (from geneSymbol)
chr9	15055056	15056052	AL592293.2	Sequence 165354 from Patent EP1572962. (from mRNA JD184330)
chr9	15143288	15143386	RNU6-559P	RNA, U6 small nuclear 559, pseudogene (from HGNC RNU6-559P)
chr9	15163621	15307360	TTC39B	Homo sapiens tetratricopeptide repeat domain 39B (TTC39B), transcript variant 1, mRNA. (from RefSeq NM_152574)
chr9	15361392	15362134	RPL7P33	ribosomal protein L7 pseudogene 33 (from HGNC RPL7P33)
chr9	15422733	15465832	SNAPC3	Part of the SNAPc complex required for the transcription  of both RNA polymerase II and III small-nuclear RNA genes. Binds  to the proximal sequence element (PSE), a non-TATA-box basal  promoter element common to these 2 types of genes. Recruits TBP  and BRF2 to the U6 snRNA TATA box. (from UniProt Q92966)
chr9	15431898	15432006	RNU6-319P	RNA, U6 small nuclear 319, pseudogene (from HGNC RNU6-319P)
chr9	15464065	15511019	PSIP1	Homo sapiens PC4 and SFRS1 interacting protein 1 (PSIP1), transcript variant 2, mRNA. (from RefSeq NM_033222)
chr9	15524575	15524707	AL513423.1	AL513423.1 (from geneSymbol)
chr9	15525781	15526081	RN7SL98P	RNA, 7SL, cytoplasmic 98, pseudogene (from HGNC RN7SL98P)
chr9	15527132	15527683	FTH1P12	ferritin heavy chain 1 pseudogene 12 (from HGNC FTH1P12)
chr9	15544187	15544294	RNU6-246P	RNA, U6 small nuclear 246, pseudogene (from HGNC RNU6-246P)
chr9	15553085	15974039	CCDC171	Homo sapiens coiled-coil domain containing 171 (CCDC171), transcript variant 1, mRNA. (from RefSeq NM_173550)
chr9	15588354	15588615	HMGN2P16	high mobility group nucleosomal binding domain 2 pseudogene 16 (from HGNC HMGN2P16)
chr9	15776180	15776286	RNU6-14P	RNA, U6 small nuclear 14, pseudogene (from HGNC RNU6-14P)
chr9	16203937	16253107	C9orf92	Homo sapiens chromosome 9 open reading frame 92 (C9orf92), transcript variant 1, mRNA. (from RefSeq NM_001271829)
chr9	16409502	16870706	BNC2	Homo sapiens basonuclin 2 (BNC2), transcript variant 1, mRNA. (from RefSeq NM_017637)
chr9	16473187	16476237	AL449983.1	AL449983.1 (from geneSymbol)
chr9	16625675	16626390	AL450003.1	AL450003.1 (from geneSymbol)
chr9	16726813	16727524	BNC2-AS1	Homo sapiens BNC2 antisense RNA 1 (BNC2-AS1), long non-coding RNA. (from RefSeq NR_151723)
chr9	16775572	16775845	LSM1P1	LSM1 homolog, mRNA degradation associated pseudogene 1 (from HGNC LSM1P1)
chr9	16917510	17049041	AL162725.2	AL162725.2 (from geneSymbol)
chr9	16982722	16983459	AL358117.1	AL358117.1 (from geneSymbol)
chr9	17053900	17054204	RN7SL720P	RNA, 7SL, cytoplasmic 720, pseudogene (from HGNC RN7SL720P)
chr9	17096300	17096446	RPS29P33	ribosomal protein S29 pseudogene 33 (from HGNC RPS29P33)
chr9	17108303	17108604	AL162725.1	AL162725.1 (from geneSymbol)
chr9	17134981	17503923	CNTLN	Homo sapiens centlein (CNTLN), transcript variant 1, mRNA. (from RefSeq NM_017738)
chr9	17447144	17448543	SAMM50P1	SAMM50 sorting and assembly machinery component pseudogene 1 (from HGNC SAMM50P1)
chr9	17579122	17797129	SH3GL2	Homo sapiens SH3 domain containing GRB2 like 2, endophilin A1 (SH3GL2), mRNA. (from RefSeq NM_003026)
chr9	17589160	17591318	PABPC1P11	poly(A) binding protein cytoplasmic 1 pseudogene 11 (from HGNC PABPC1P11)
chr9	18360596	18362220	AL442638.1	AL442638.1 (from geneSymbol)
chr9	18473893	18910950	ADAMTSL1	Homo sapiens ADAMTS like 1 (ADAMTSL1), transcript variant 4, mRNA. (from RefSeq NM_001040272)
chr9	18573305	18573379	MIR3152	Homo sapiens microRNA 3152 (MIR3152), microRNA. (from RefSeq NR_036107)
chr9	18651146	18651450	RN7SKP258	RNA, 7SK small nuclear pseudogene 258 (from HGNC RN7SKP258)
chr9	18717973	18718526	RAP1BP1	RAP1B, member of RAS oncogene family pseudogene 1 (from HGNC RAP1BP1)
chr9	18927657	19033188	SAXO1	Homo sapiens stabilizer of axonemal microtubules 1 (SAXO1), transcript variant 1, mRNA. (from RefSeq NM_153707)
chr9	19026891	19028129	AL356000.1	AL356000.1 (from geneSymbol)
chr9	19049394	19050983	RRAGA	Homo sapiens Ras related GTP binding A (RRAGA), mRNA. (from RefSeq NM_006570)
chr9	19053142	19103119	HAUS6	Homo sapiens HAUS augmin like complex subunit 6 (HAUS6), transcript variant 1, mRNA. (from RefSeq NM_017645)
chr9	19063655	19063786	SCARNA8	Homo sapiens small Cajal body-specific RNA 8 (SCARNA8), guide RNA. (from RefSeq NR_003009)
chr9	19073842	19073946	RNU6-264P	RNA, U6 small nuclear 264, pseudogene (from HGNC RNU6-264P)
chr9	19089592	19089688	RF00019	RF00019 (from geneSymbol)
chr9	19115769	19127576	PLIN2	Homo sapiens perilipin 2 (PLIN2), transcript variant 2, non-coding RNA. (from RefSeq NR_038064)
chr9	19200334	19201046	AL161909.1	Sequence 78932 from Patent EP1572962. (from mRNA JD097908)
chr9	19230434	19372858	DENND4C	Homo sapiens DENN domain containing 4C (DENND4C), transcript variant 1, mRNA. (from RefSeq NM_017925)
chr9	19291336	19292576	AL161909.2	AL161909.2 (from geneSymbol)
chr9	19371385	19371945	AL391834.1	JP 2014500723-A/191381: Polycomb-Associated Non-Coding RNAs. (from mRNA LF383878)
chr9	19375450	19375996	AL391834.2	AL391834.2 (from geneSymbol)
chr9	19375714	19380254	RPS6	Homo sapiens ribosomal protein S6 (RPS6), mRNA. (from RefSeq NM_001010)
chr9	19383216	19383887	NDUFA5P3	NADH:ubiquinone oxidoreductase subunit A5 pseudogene 3 (from HGNC NDUFA5P3)
chr9	19386926	19408532	AL391834.3	AL391834.3 (from geneSymbol)
chr9	19409058	19452020	ACER2	Homo sapiens alkaline ceramidase 2 (ACER2), mRNA. (from RefSeq NM_001010887)
chr9	19453208	19455173	AL158206.1	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. (from mRNA AK024898)
chr9	19461159	19464524	MAP1LC3BP1	microtubule associated protein 1 light chain 3 beta pseudogene 1 (from HGNC MAP1LC3BP1)
chr9	19507451	19786928	SLC24A2	Homo sapiens solute carrier family 24 member 2 (SLC24A2), transcript variant 1, mRNA. (from RefSeq NM_020344)
chr9	19705337	19705655	C11orf98P1	chromosome 11 open reading frame 98 pseudogene 1 (from HGNC C11orf98P1)
