#hg38.knownCanonical.chrom	hg38.knownCanonical.chromStart	hg38.knownCanonical.chromEnd	hg38.kgXref.geneSymbol	hg38.kgXref.description
chr22	16961935	17008222	GAB4	Homo sapiens GRB2 associated binding protein family member 4 (GAB4), mRNA. (from RefSeq NM_001037814)
chr22	17012403	17012932	AC006548.2	AC006548.2 (from geneSymbol)
chr22	17021397	17022570	VN1R9P	vomeronasal 1 receptor 9 pseudogene (from HGNC VN1R9P)
chr22	17037238	17060825	CECR7	cat eye syndrome chromosome region, candidate 7 (non-protein coding) (from HGNC CECR7)
chr22	17067820	17070675	AC006946.2	Sequence 461479 from Patent EP1572962. (from mRNA JD480455)
chr22	17080700	17081456	AC006946.3	AC006946.3 (from geneSymbol)
chr22	17084958	17115693	IL17RA	Homo sapiens interleukin 17 receptor A (IL17RA), transcript variant 1, mRNA. (from RefSeq NM_014339)
chr22	17093611	17093939	AC006946.1	AC006946.1 (from geneSymbol)
chr22	17116299	17121253	TMEM121B	Homo sapiens transmembrane protein 121B (TMEM121B), transcript variant 1, mRNA. (from RefSeq NM_031890)
chr22	17121594	17132104	LINC01664	Homo sapiens long intergenic non-protein coding RNA 1664 (LINC01664), long non-coding RNA. (from RefSeq NR_103793)
chr22	17137510	17165287	HDHD5	Homo sapiens haloacid dehalogenase like hydrolase domain containing 5 (HDHD5), transcript variant 1, mRNA. (from RefSeq NM_017829)
chr22	17159398	17165445	HDHD5-AS1	Homo sapiens HDHD5 antisense RNA 1 (HDHD5-AS1), transcript variant 1, long non-coding RNA. (from RefSeq NR_024483)
chr22	17179303	17221989	ADA2	Adenosine deaminase that may contribute to the  degradation of extracellular adenosine, a signaling molecule that  controls a variety of cellular responses. Requires elevated  adenosine levels for optimal enzyme activity. Binds to cell  surfaces via proteoglycans and may play a role in the regulation  of cell proliferation and differentiation, independently of its  enzyme activity. (from UniProt Q9NZK5)
chr22	17192935	17193308	AC005300.1	AC005300.1 (from geneSymbol)
chr22	17213515	17214155	FAM32BP	family with sequence similarity 32 member B, pseudogene (from HGNC FAM32BP)
chr22	17256858	17266733	CECR3	Homo sapiens cat eye syndrome chromosome region, candidate 3 (CECR3), long non-coding RNA. (from RefSeq NR_038398)
chr22	17329033	17329232	CECR9	cat eye syndrome chromosome region, candidate 9 (non-protein coding) (from HGNC CECR9)
chr22	17352880	17353177	RN7SL843P	RNA, 7SL, cytoplasmic 843, pseudogene (from HGNC RN7SL843P)
chr22	17359948	17553332	CECR2	Homo sapiens CECR2, histone acetyl-lysine reader (CECR2), transcript variant 2, mRNA. (from RefSeq NM_001290046)
chr22	17418696	17419828	FO681548.1	Sequence 419669 from Patent EP1572962. (from mRNA JD438645)
chr22	17424387	17424775	CLCP1	Charcot-Leyden crystal protein pseudogene 1 (from HGNC CLCP1)
chr22	17518675	17519029	DNAJA1P6	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 6 (from HGNC DNAJA1P6)
chr22	17563438	17590994	SLC25A18	Homo sapiens solute carrier family 25 member 18 (SLC25A18), transcript variant 1, mRNA. (from RefSeq NM_031481)
chr22	17580156	17589192	AC007666.1	Homo sapiens solute carrier family 25 (mitochondrial carrier), member 18, mRNA (cDNA clone IMAGE:3899499), with apparent retained intron. (from mRNA BC016954)
chr22	17592135	17628818	ATP6V1E1	Homo sapiens ATPase H+ transporting V1 subunit E1 (ATP6V1E1), transcript variant 1, mRNA. (from RefSeq NM_001696)
chr22	17638589	17728721	BCL2L13	Homo sapiens BCL2 like 13 (BCL2L13), transcript variant 1, mRNA. (from RefSeq NM_015367)
chr22	17734137	17774016	BID	Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 1, mRNA. (from RefSeq NM_197966)
chr22	17764179	17764259	MIR3198-1	Homo sapiens microRNA 3198-1 (MIR3198-1), microRNA. (from RefSeq NR_036168)
chr22	17777321	17779481	LINC00528	Homo sapiens long intergenic non-protein coding RNA 528 (LINC00528), long non-coding RNA. (from RefSeq NR_103718)
chr22	17787648	18024559	MICAL3	Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 1, mRNA. (from RefSeq NM_015241)
chr22	17787651	17811497	AC016026.1	Homo sapiens cDNA FLJ44978 fis, clone BRAWH3003244. (from mRNA AK126925)
chr22	17980867	17980961	MIR648	Homo sapiens microRNA 648 (MIR648), microRNA. (from RefSeq NR_030378)
chr22	17983204	17983619	AC016027.3	AC016027.3 (from geneSymbol)
chr22	18004269	18007308	AC016027.2	Homo sapiens mRNA; cDNA DKFZp686P04203 (from clone DKFZp686P04203). (from mRNA BX648058)
chr22	18019213	18020200	RHEBP3	RHEB pseudogene 3 (from HGNC RHEBP3)
chr22	18029384	18037968	LINC01634	Homo sapiens long intergenic non-protein coding RNA 1634 (LINC01634), long non-coding RNA. (from RefSeq NR_024417)
chr22	18077185	18078884	AC016027.1	Homo sapiens cDNA FLJ20078 fis, clone COL02974. (from mRNA AK000085)
chr22	18077922	18105396	PEX26	Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 1, mRNA. (from RefSeq NM_017929)
chr22	18081465	18081675	AC016027.5	AC016027.5 (from geneSymbol)
chr22	18101611	18101888	AC016027.4	AC016027.4 (from geneSymbol)
chr22	18102456	18103649	ARL2BPP10	ADP ribosylation factor like GTPase 2 binding protein pseudogene 10 (from HGNC ARL2BPP10)
chr22	18110758	18131154	AC008079.1	JP 2014500723-A/14874: Polycomb-Associated Non-Coding RNAs. (from mRNA LF207371)
chr22	18110792	18131731	TUBA8	Homo sapiens tubulin alpha 8 (TUBA8), transcript variant 1, mRNA. (from RefSeq NM_018943)
chr22	18149898	18177397	USP18	Homo sapiens ubiquitin specific peptidase 18 (USP18), mRNA. (from RefSeq NM_017414)
chr22	18178037	18205915	LINC02592	Homo sapiens long intergenic non-protein coding RNA 2592 (LINC02592), long non-coding RNA. (from RefSeq NR_136570)
chr22	18340144	18345899	GGTLC5P	gamma-glutamyltransferase light chain 5 pseudogene (from HGNC GGTLC5P)
chr22	18361822	18386597	LINC01660	long intergenic non-protein coding RNA 1660 (from HGNC LINC01660)
chr22	18374105	18375689	AC011718.1	Sequence 93019 from Patent EP1572962. (from mRNA JD111995)
chr22	18400406	18404206	PPP1R26P3	protein phosphatase 1 regulatory subunit 26 pseudogene 3 (from HGNC PPP1R26P3)
chr22	18422243	18500594	FAM230A	Homo sapiens family with sequence similarity 230 member A (FAM230A), long non-coding RNA. (from RefSeq NR_136560)
chr22	18487868	18491247	AC023490.1	AC023490.1 (from geneSymbol)
chr22	18501793	18512187	AC023490.3	AC023490.3 (from geneSymbol)
chr22	18516343	18518161	GGTLC3	Corresponds to the light chain of other gamma-  glutamyltransferase family members. Has no catalytic activity. (from UniProt B5MD39)
chr22	18524619	18524935	RF00017	RF00017 (from geneSymbol)
chr22	18527156	18527626	AC023490.2	AC023490.2 (from geneSymbol)
chr22	18527801	18530459	TMEM191B	Homo sapiens transmembrane protein 191B (TMEM191B), mRNA. (from RefSeq NM_001242313)
chr22	18538055	18577968	PI4KAP1	phosphatidylinositol 4-kinase alpha pseudogene 1 (from HGNC PI4KAP1)
chr22	18605354	18605497	RF00492	RF00492 (from geneSymbol)
chr22	18605801	18606102	RN7SKP131	RNA, 7SK small nuclear pseudogene 131 (from HGNC RN7SKP131)
chr22	18605814	18611919	RIMBP3	Homo sapiens RIMS binding protein 3 (RIMBP3), mRNA. (from RefSeq NM_015672)
chr22	18615580	18615900	RF00017	RF00017 (from geneSymbol)
chr22	18623338	18625289	SUSD2P2	sushi domain containing 2 pseudogene 2 (from HGNC SUSD2P2)
chr22	18636444	18638405	CA15P2	carbonic anhydrase 15 pseudogene 2 (from HGNC CA15P2)
chr22	18650022	18653617	PPP1R26P2	protein phosphatase 1 regulatory subunit 26 pseudogene 2 (from HGNC PPP1R26P2)
chr22	18715814	18719341	PPP1R26P4	protein phosphatase 1 regulatory subunit 26 pseudogene 4 (from HGNC PPP1R26P4)
chr22	18733913	18757894	LINC01662	Homo sapiens long intergenic non-protein coding RNA 1662 (LINC01662), long non-coding RNA. (from RefSeq NR_136561)
chr22	18794413	18794804	AC008132.2	AC008132.2 (from geneSymbol)
chr22	18794530	18843399	GGT3P	gamma-glutamyltransferase 3 pseudogene (from HGNC GGT3P)
chr22	18833693	18834438	E2F6P1	E2F transcription factor 6 pseudogene 1 (from HGNC E2F6P1)
chr22	18850117	18861049	AC008132.1	Homo sapiens Putative uncharacterized protein DKFZp434K191 (LOC102725072), non-coding RNA. (from RefSeq NR_135922)
chr22	18855620	18858640	BCRP7	breakpoint cluster region pseudogene 7 (from HGNC BCRP7)
chr22	18873542	18894407	LINC01663	long intergenic non-protein coding RNA 1663 (from HGNC LINC01663)
chr22	18883501	18884682	AC008103.1	AC008103.1 (from geneSymbol)
chr22	18906222	18912088	DGCR6	Homo sapiens DiGeorge syndrome critical region gene 6 (DGCR6), mRNA. (from RefSeq NM_005675)
chr22	18906237	18947732	AC007326.4	Homo sapiens cDNA PSEC0015 fis, clone NT2RM1001028. (from mRNA AK075337)
chr22	18912776	18936553	PRODH	Homo sapiens proline dehydrogenase 1 (PRODH), transcript variant 1, mRNA. (from RefSeq NM_016335)
chr22	18936410	18947741	AC007326.5	Homo sapiens cDNA PSEC0015 fis, clone NT2RM1001028. (from mRNA AK075337)
chr22	18951933	18959512	AC007326.2	AC007326.2 (from geneSymbol)
chr22	18970513	18994628	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding) (from HGNC DGCR5)
chr22	18980694	18981325	AC007326.3	AC007326.3 (from geneSymbol)
chr22	18997137	18997595	AC007326.1	Sequence 126713 from Patent EP1572962. (from mRNA JD145689)
chr22	18998273	19014786	DGCR9	DiGeorge syndrome critical region gene 9 (non-protein coding) (from HGNC DGCR9)
chr22	19014352	19014506	AC000095.2	AC000095.2 (from geneSymbol)
chr22	19018042	19018916	AC000095.1	Sequence 406732 from Patent EP1572962. (from mRNA JD425708)
chr22	19023055	19023550	DGCR10	DiGeorge syndrome critical region gene 10 (non-protein coding) (from HGNC DGCR10)
chr22	19031563	19034564	CA15P1	carbonic anhydrase 15 pseudogene 1 (from HGNC CA15P1)
chr22	19036285	19122454	DGCR2	Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), transcript variant 1, mRNA. (from RefSeq NM_005137)
chr22	19045255	19045367	RF00019	RF00019 (from geneSymbol)
chr22	19046161	19048375	DGCR11	Homo sapiens DiGeorge syndrome critical region gene 11 (DGCR11), long non-coding RNA. (from RefSeq NR_024157)
chr22	19055800	19056512	AC004461.1	AC004461.1 (from geneSymbol)
chr22	19061040	19061843	AC004461.2	Homo sapiens DGS-E partial mRNA. (from mRNA L77562)
chr22	19121528	19124503	AC004471.1	AC004471.1 (from geneSymbol)
chr22	19124308	19128449	AC004471.2	AC004471.2 (from geneSymbol)
chr22	19124878	19125646	TSSK1A	testis specific serine kinase 1A, pseudogene (from HGNC TSSK1A)
chr22	19130278	19144684	ESS2	Homo sapiens ess-2 splicing factor homolog (ESS2), transcript variant 1, mRNA. (from RefSeq NM_022719)
chr22	19130807	19132623	TSSK2	Homo sapiens testis specific serine kinase 2 (TSSK2), mRNA. (from RefSeq NM_053006)
chr22	19148575	19150283	GSC2	Homo sapiens goosecoid homeobox 2 (GSC2), mRNA. (from RefSeq NM_005315)
chr22	19171394	19172839	LINC01311	Homo sapiens long intergenic non-protein coding RNA 1311 (LINC01311), long non-coding RNA. (from RefSeq NR_103767)
chr22	19175574	19178830	SLC25A1	Homo sapiens solute carrier family 25 member 1 (SLC25A1), transcript variant 4, non-coding RNA. (from RefSeq NR_046298)
chr22	19179472	19291714	CLTCL1	Homo sapiens clathrin heavy chain like 1 (CLTCL1), transcript variant 1, mRNA. (from RefSeq NM_007098)
chr22	19238442	19238739	AC000081.1	AC000081.1 (from geneSymbol)
chr22	19249872	19249966	RF00398	RF00398 (from geneSymbol)
chr22	19257519	19258806	KRT18P62	keratin 18 pseudogene 62 (from HGNC KRT18P62)
chr22	19330697	19431733	HIRA	Homo sapiens histone cell cycle regulator (HIRA), mRNA. (from RefSeq NM_003325)
chr22	19365765	19366044	RN7SL168P	RNA, 7SL, cytoplasmic 168, pseudogene (from HGNC RN7SL168P)
chr22	19431901	19436075	MRPL40	Homo sapiens mitochondrial ribosomal protein L40 (MRPL40), transcript variant 1, mRNA. (from RefSeq NM_003776)
chr22	19443370	19447697	C22orf39	chromosome 22 open reading frame 39 (from HGNC C22orf39)
chr22	19447892	19450105	AC000068.1	AC000068.1 (from geneSymbol)
chr22	19449909	19479215	UFD1	Homo sapiens ubiquitin recognition factor in ER associated degradation 1 (UFD1), transcript variant 1, mRNA. (from RefSeq NM_005659)
chr22	19454178	19454605	AC000068.3	AC000068.3 (from geneSymbol)
chr22	19456502	19456962	AC000068.2	AC000068.2 (from geneSymbol)
chr22	19479458	19520612	CDC45	Required for initiation of chromosomal DNA replication. (from UniProt O75419)
chr22	19523026	19524400	CLDN5	Plays a major role in tight junction-specific  obliteration of the intercellular space (By similarity). (from UniProt O00501)
chr22	19565202	19566839	LINC00895	long intergenic non-protein coding RNA 895 (from HGNC LINC00895)
chr22	19630749	19633574	AC000077.1	AC000077.1 (from geneSymbol)
chr22	19667022	19667555	AC000067.1	AC000067.1 (from geneSymbol)
chr22	19714463	19723319	SEPT5	Homo sapiens septin 5 (SEPT5), transcript variant 1, mRNA. (from RefSeq NM_002688)
chr22	19717219	19724216	SEPT5-GP1BB	Homo sapiens SEPT5-GP1BB readthrough (SEPT5-GP1BB), transcript variant 1, long non-coding RNA. (from RefSeq NR_037611)
chr22	19722944	19724771	GP1BB	Homo sapiens glycoprotein Ib platelet subunit beta (GP1BB), mRNA. (from RefSeq NM_000407)
chr22	19756702	19767334	TBX1	Homo sapiens T-box 1 (TBX1), transcript variant C, mRNA. (from RefSeq NM_080647)
chr22	19783223	19854939	GNB1L	Homo sapiens G protein subunit beta 1 like (GNB1L), mRNA. (from RefSeq NM_053004)
chr22	19792293	19793094	AC000089.1	JP 2014500723-A/125267: Polycomb-Associated Non-Coding RNAs. (from mRNA LF317764)
chr22	19846137	19854896	RTL10	  Sequence=BAB14998.1; Type=Erroneous initiation; (from UniProt Q7L3V2)
chr22	19875521	19941992	TXNRD2	Homo sapiens thioredoxin reductase 2 (TXNRD2), transcript variant 1, mRNA. (from RefSeq NM_006440)
chr22	19887288	19887970	AC000078.1	AC000078.1 (from geneSymbol)
chr22	19941606	19969975	COMT	Homo sapiens catechol-O-methyltransferase (COMT), transcript variant 1, mRNA. (from RefSeq NM_000754)
chr22	19963752	19963834	MIR4761	Homo sapiens microRNA 4761 (MIR4761), microRNA. (from RefSeq NR_039918)
chr22	19969895	20016808	ARVCF	Homo sapiens ARVCF, delta catenin family member (ARVCF), mRNA. (from RefSeq NM_001670)
chr22	20021107	20065926	TANGO2	Homo sapiens transport and golgi organization 2 homolog (TANGO2), transcript variant 39, non-coding RNA. (from RefSeq NR_136212)
chr22	20033138	20033220	MIR185	Homo sapiens microRNA 185 (MIR185), microRNA. (from RefSeq NR_029706)
chr22	20063010	20070569	AC006547.1	AC006547.1 (from geneSymbol)
chr22	20064551	20065705	AC006547.3	AC006547.3 (from geneSymbol)
chr22	20070715	20070965	RF00017	Sequence 129210 from Patent EP1572962. (from mRNA JD148186)
chr22	20080231	20111871	DGCR8	Homo sapiens DGCR8, microprocessor complex subunit (DGCR8), transcript variant 1, mRNA. (from RefSeq NM_022720)
chr22	20085745	20085833	MIR3618	Homo sapiens microRNA 3618 (MIR3618), microRNA. (from RefSeq NR_037412)
chr22	20086057	20086142	MIR1306	Homo sapiens microRNA 1306 (MIR1306), microRNA. (from RefSeq NR_031706)
chr22	20110820	20111875	AC006547.2	AC006547.2 (from geneSymbol)
chr22	20111874	20117392	TRMT2A	May be involved in nucleic acid metabolism and/or  modifications. (from UniProt Q8IZ69)
chr22	20114685	20114751	MIR6816	Homo sapiens microRNA 6816 (MIR6816), microRNA. (from RefSeq NR_106874)
chr22	20117547	20127181	RANBP1	Homo sapiens RAN binding protein 1 (RANBP1), transcript variant 2, mRNA. (from RefSeq NM_002882)
chr22	20126401	20126526	RF00599	Novel nucleic acids. (from mRNA DL491274)
chr22	20131806	20148007	ZDHHC8	Homo sapiens zinc finger DHHC-type containing 8 (ZDHHC8), transcript variant 2, mRNA. (from RefSeq NM_013373)
chr22	20148426	20151065	CCDC188	Homo sapiens coiled-coil domain containing 188 (CCDC188), mRNA. (from RefSeq NM_001243537)
chr22	20198728	20204918	AC007663.2	Homo sapiens uncharacterized LOC284865 (LOC284865), long non-coding RNA. (from RefSeq NR_038460)
chr22	20206396	20208524	LINC00896	Homo sapiens long intergenic non-protein coding RNA 896 (LINC00896), long non-coding RNA. (from RefSeq NR_026919)
chr22	20241414	20268531	RTN4R	Homo sapiens reticulon 4 receptor (RTN4R), mRNA. (from RefSeq NM_023004)
chr22	20249133	20249211	MIR1286	Homo sapiens microRNA 1286 (MIR1286), microRNA. (from RefSeq NR_031618)
chr22	20299759	20313216	AC007663.1	Homo sapiens mRNA for KIAA1653 protein, partial cds. (from mRNA AB051440)
chr22	20314275	20320080	DGCR6L	Homo sapiens DiGeorge syndrome critical region gene 6 like (DGCR6L), mRNA. (from RefSeq NM_033257)
chr22	20318118	20318749	AC007663.4	AC007663.4 (from geneSymbol)
chr22	20320738	20321203	AC007663.3	AC007663.3 (from geneSymbol)
chr22	20338804	20354372	AC007731.1	Homo sapiens p14ARF/FAM230A fusion protein transcript variant 2 mRNA, partial cds. (from mRNA JX456220)
chr22	20343202	20344365	AC007731.3	AC007731.3 (from geneSymbol)
chr22	20363620	20390758	USP41	May recognize and hydrolyze the peptide bond at the C-  terminal Gly of ubiquitin. Involved in the processing of poly-  ubiquitin precursors as well as that of ubiquitinated proteins (By  similarity). (from UniProt Q3LFD5)
chr22	20394114	20408461	ZNF74	Homo sapiens zinc finger protein 74 (ZNF74), transcript variant 3, mRNA. (from RefSeq NM_001256524)
chr22	20416796	20416899	RNU6-225P	RNA, U6 small nuclear 225, pseudogene (from HGNC RNU6-225P)
chr22	20424814	20437826	SCARF2	Homo sapiens scavenger receptor class F member 2 (SCARF2), transcript variant 1, mRNA. (from RefSeq NM_153334)
chr22	20429240	20446620	AC007731.5	The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H7BZZ5)
chr22	20441518	20495883	KLHL22	Homo sapiens kelch like family member 22 (KLHL22), transcript variant 2, non-coding RNA. (from RefSeq NR_033825)
chr22	20450121	20451824	AC007731.2	Homo sapiens piRNA piR-59918, complete sequence. (from mRNA DQ592806)
chr22	20475202	20475311	RNY1P9	RNA, Ro-associated Y1 pseudogene 9 (from HGNC RNY1P9)
chr22	20481157	20481268	RF00019	RF00019 (from geneSymbol)
chr22	20481934	20482213	RN7SL812P	RNA, 7SL, cytoplasmic 812, pseudogene (from HGNC RN7SL812P)
chr22	20482814	20484105	KRT18P5	keratin 18 pseudogene 5 (from HGNC KRT18P5)
chr22	20507601	20587632	MED15	Homo sapiens mediator complex subunit 15 (MED15), transcript variant 2, mRNA. (from RefSeq NM_015889)
chr22	20522069	20523870	AC007731.4	AC007731.4 (from geneSymbol)
chr22	20587495	20592218	CCDC74BP1	coiled-coil domain containing 74B pseudogene 1 (from HGNC CCDC74BP1)
chr22	20616229	20656914	SMPD4P1	sphingomyelin phosphodiesterase 4 pseudogene 1 (from HGNC SMPD4P1)
